idea_id,title,body,좋아요,싫어요
idea_015,로컬 맥주 양조 체험 카페,"로컬 맥주 양조 체험 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",32,8
idea_016,야간 드라이브 인 시네마,"야간 드라이브 인 시네마을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",49,6
idea_017,태양광 충전 스테이션 카페,"태양광 충전 스테이션 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",29,21
idea_018,도시 어린이 농부 학교,"도시 어린이 농부 학교을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",6,46
idea_019,공유 주방 푸드랩,"공유 주방 푸드랩을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",31,20
idea_020,업사이클링 패션 스튜디오,"업사이클링 패션 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",14,7
idea_021,무인 헌책방,"무인 헌책방을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",35,20
idea_022,스마트 미니 헬스존,"스마트 미니 헬스존을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",20,44
idea_023,리필 스테이션 카페,"리필 스테이션 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",18,13
idea_024,이동식 수제버거 트럭,"이동식 수제버거 트럭을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",41,43
idea_025,마이크로 브루어리 펍,"마이크로 브루어리 펍을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",29,27
idea_026,공유 악기 연습실,"공유 악기 연습실을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",9,0
idea_027,프로젝션 맵핑 갤러리,"프로젝션 맵핑 갤러리을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",0,23
idea_028,도심 곤충 사육 체험관,"도심 곤충 사육 체험관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",44,41
idea_029,VR 역사 탐험 센터,"VR 역사 탐험 센터을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",6,39
idea_030,트래셔리 카페,"트래셔리 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",37,5
idea_031,지역 공예 협동 공방,"지역 공예 협동 공방을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",13,25
idea_032,전기 스쿠터 배터리 교환소,"전기 스쿠터 배터리 교환소을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",7,45
idea_033,도시 별빛 관측 카페,"도시 별빛 관측 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",15,6
idea_034,스마트 키즈 미술관,"스마트 키즈 미술관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",25,23
idea_035,버려진 창고 팝업 마켓,"버려진 창고 팝업 마켓을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",49,34
idea_036,AI 퍼스널 트레이닝 스튜디오,"AI 퍼스널 트레이닝 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",14,35
idea_037,아로마 테라피 카페,"아로마 테라피 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",10,11
idea_038,도심 수목 화분 대여 서비스,"도심 수목 화분 대여 서비스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",29,43
idea_039,클라이밍&요가 복합 센터,"클라이밍&요가 복합 센터을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",33,47
idea_040,야외 보드게임 카페,"야외 보드게임 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",25,32
idea_041,지역 전통주 체험 스튜디오,"지역 전통주 체험 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",22,50
idea_042,모바일 헬스케어 버스,"모바일 헬스케어 버스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",48,14
idea_043,재사용 용기 대여 서비스,"재사용 용기 대여 서비스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",36,1
idea_044,PCR 음향 스튜디오,"PCR 음향 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",49,14
idea_045,친환경 자전거 세차장,"친환경 자전거 세차장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",33,9
idea_046,펫 테라피 카페,"펫 테라피 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",37,0
idea_047,도심 속 오토캠핑장,"도심 속 오토캠핑장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",1,48
idea_048,NFT 아트 라이브 경매장,"NFT 아트 라이브 경매장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",40,41
idea_049,스마트 홈 가전 체험관,"스마트 홈 가전 체험관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",18,50
idea_050,도시 탐험 미션 게임,"도시 탐험 미션 게임을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",30,40
idea_051,실버 요가&댄스 홀,"실버 요가&댄스 홀을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",2,13
idea_052,저가형 리페어 카페,"저가형 리페어 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",39,12
idea_053,청소년 메이커 스페이스,"청소년 메이커 스페이스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",30,44
idea_054,플로팅 리버 카페,"플로팅 리버 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",32,42
idea_055,반려동물 영양 간식 연구소,"반려동물 영양 간식 연구소을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",35,47
idea_056,로컬 푸드 브런치 바,"로컬 푸드 브런치 바을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",4,40
idea_057,스마트 파킹 공유 플랫폼,"스마트 파킹 공유 플랫폼을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",43,44
idea_058,메타버스 라이브 공연장,"메타버스 라이브 공연장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",38,17
idea_059,업사이클 가죽 공방,"업사이클 가죽 공방을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",38,3
idea_060,도시 양봉 허니바,"도시 양봉 허니바을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",45,43
idea_061,스마트 드론 체험장,"스마트 드론 체험장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",22,28
idea_062,디지털 노마드 라운지,"디지털 노마드 라운지을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",16,40
idea_063,모바일 사진 인화 카페,"모바일 사진 인화 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",25,49
idea_064,지역 아티스트 레지던시,"지역 아티스트 레지던시을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",0,19
idea_065,리사이클 플라스틱 팩토리,"리사이클 플라스틱 팩토리을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",36,13
idea_066,커뮤니티 리페어 카페,"커뮤니티 리페어 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",32,32
idea_067,소형 음악 페스티벌 파크,"소형 음악 페스티벌 파크을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",48,34
idea_068,스마트 에코 캠핑용품 렌탈,"스마트 에코 캠핑용품 렌탈을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",2,4
idea_069,로컬 재료 수제 아이스크림,"로컬 재료 수제 아이스크림을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",31,5
idea_070,크라우드 쿠킹 클래스,"크라우드 쿠킹 클래스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",31,50
idea_071,도심 선셋 요가 카페,"도심 선셋 요가 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",25,42
idea_072,미니 수경재배 키트 샵,"미니 수경재배 키트 샵을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",14,10
idea_073,스마트 아쿠아리움 카페,"스마트 아쿠아리움 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",13,44
idea_074,로봇 서빙 한식당,"로봇 서빙 한식당을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",39,16
idea_075,도시 밀키트 무인 판매기,"도시 밀키트 무인 판매기을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",5,31
idea_076,AI 음악 추천 카페,"AI 음악 추천 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",49,44
idea_077,친환경 세탁 세제 리필샵,"친환경 세탁 세제 리필샵을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",50,43
idea_078,VR 사이클링 스튜디오,"VR 사이클링 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",16,36
idea_079,지역 농산물 서브스크립션,"지역 농산물 서브스크립션을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",40,42
idea_080,반려동물 헬스 체크 부스,"반려동물 헬스 체크 부스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",39,13
idea_081,스마트 화분 구독 서비스,"스마트 화분 구독 서비스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",35,23
idea_082,모바일 북카페,"모바일 북카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",8,16
idea_083,마을 역사 디지털 아카이브,"마을 역사 디지털 아카이브을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",45,0
idea_084,폐자재 건축 워크숍,"폐자재 건축 워크숍을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",17,47
idea_085,AI 그림 그려주는 카페,"AI 그림 그려주는 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",9,2
idea_086,3D 프린팅 리페어 숍,"3D 프린팅 리페어 숍을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",31,3
idea_087,친환경 수제 양초 카페,"친환경 수제 양초 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",8,15
idea_088,지역 특산물 테이스팅바,"지역 특산물 테이스팅바을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",31,17
idea_089,이동식 헌혈 카페,"이동식 헌혈 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",35,17
idea_090,스마트 프라이빗 사우나,"스마트 프라이빗 사우나을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",24,39
idea_091,도심 암벽등반 체험 버스,"도심 암벽등반 체험 버스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",7,49
idea_092,반려동물 피부 스파,"반려동물 피부 스파을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",8,11
idea_093,게임 스트리밍 스튜디오,"게임 스트리밍 스튜디오을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",33,14
idea_094,도시 버스킹 지원 플랫폼,"도시 버스킹 지원 플랫폼을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",32,13
idea_095,로컬 브랜드 팝업숍,"로컬 브랜드 팝업숍을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",6,43
idea_096,스마트 헬멧 대여 서비스,"스마트 헬멧 대여 서비스을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",33,26
idea_097,소규모 도시 양어장,"소규모 도시 양어장을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",45,5
idea_098,드론 배달 실험 카페,"드론 배달 실험 카페을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",46,20
idea_099,메타버스 커뮤니티 교실,"메타버스 커뮤니티 교실을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",1,35
idea_100,제로에너지 주택 체험관,"제로에너지 주택 체험관을(를) 통해 지역 주민에게 새로운 경험과 가치를 제공하는 커뮤니티 기반 아이디어로, 지속가능성과 참여형 프로그램을 결합하여 로컬 경제 활성화를 목표로 합니다.",45,34
